"Id","Option","Value","MeasureTypeId","Created","Modified","CreatedBy","ModifiedBy"
4,"binSize","15",8,NULL,NULL,NULL,NULL
10,"binSize","15",10,NULL,NULL,NULL,NULL
18,"binSize","15",7,NULL,NULL,NULL,NULL
19,"showAdvanceDetection","TRUE",7,NULL,NULL,NULL,NULL
20,"showDirectionalSplits","TRUE",7,NULL,NULL,NULL,NULL
21,"showNbEbVolume","TRUE",7,NULL,NULL,NULL,NULL
22,"showSbWbVolume","TRUE",7,NULL,NULL,NULL,NULL
23,"showTMCDetection","TRUE",7,NULL,NULL,NULL,NULL
24,"showTotalVolume","FALSE",7,NULL,NULL,NULL,NULL
27,"binSize","15",31,NULL,NULL,NULL,NULL
28,"gap1Max","3.3",31,NULL,NULL,NULL,NULL
29,"gap1Min","1",31,NULL,NULL,NULL,NULL
30,"gap2Max","3.7",31,NULL,NULL,NULL,NULL
31,"gap2Min","3.3",31,NULL,NULL,NULL,NULL
32,"gap3Max","7.4",31,NULL,NULL,NULL,NULL
33,"gap3Min","3.7",31,NULL,NULL,NULL,NULL
34,"gap4Min","7.4",31,NULL,NULL,NULL,NULL
35,"trendLineGapThreshold","7.4",31,NULL,NULL,NULL,NULL
36,"binSize","15",6,NULL,NULL,NULL,NULL
39,"showPlanStatistics","TRUE",6,NULL,NULL,NULL,NULL
40,"showVolumes","TRUE",6,NULL,NULL,NULL,NULL
43,"pedRecallThreshold","75",3,NULL,NULL,NULL,NULL
44,"showCycleLength","TRUE",3,NULL,NULL,NULL,NULL
45,"showPedBeginWalk","TRUE",3,NULL,NULL,NULL,NULL
46,"showPedRecall","FALSE",3,NULL,NULL,NULL,NULL
47,"showPercentDelay","TRUE",3,NULL,NULL,NULL,NULL
48,"timeBuffer","15",3,NULL,NULL,NULL,NULL
50,"selectedConsecutiveCount","1",1,NULL,NULL,NULL,NULL
53,"combineLanes","FALSE",37,NULL,NULL,NULL,NULL
54,"firstSecondsOfRed","5",12,NULL,NULL,NULL,NULL
55,"showAvgLines","TRUE",12,NULL,NULL,NULL,NULL
56,"showFailLines","TRUE",12,NULL,NULL,NULL,NULL
57,"showPercentFailLines","FALSE",12,NULL,NULL,NULL,NULL
58,"percentileSplit","85",2,NULL,NULL,NULL,NULL
69,"extendStartStopSearch","2",17,NULL,NULL,NULL,NULL
71,"showAdvancedCount","TRUE",17,NULL,NULL,NULL,NULL
72,"showAdvancedDilemmaZone","TRUE",17,NULL,NULL,NULL,NULL
73,"showAllLanesInfo","FALSE",17,NULL,NULL,NULL,NULL
76,"showLaneByLaneCount","TRUE",17,NULL,NULL,NULL,NULL
79,"showPedestrianActuation","TRUE",17,NULL,NULL,NULL,NULL
80,"showPedestrianIntervals","TRUE",17,NULL,NULL,NULL,NULL
83,"showStopBarPresence","TRUE",17,NULL,NULL,NULL,NULL
85,"binSize","15",5,NULL,NULL,NULL,NULL
92,"severeLevelSeconds","5",11,NULL,NULL,NULL,NULL
102,"getVolume","TRUE",8,NULL,NULL,NULL,NULL
103,"getPermissivePhase","TRUE",8,NULL,NULL,NULL,NULL
104,"usePermissivePhase","TRUE",9,NULL,NULL,NULL,NULL
105,"showPlanStatistics","TRUE",9,NULL,NULL,NULL,NULL
106,"binSize","15",9,NULL,NULL,NULL,NULL
107,"showArrivalsOnGreen","TRUE",6,NULL,NULL,NULL,NULL
113,"xAxisBinSize","15",36,NULL,NULL,NULL,NULL
114,"yAxisBinSize","4",36,NULL,NULL,NULL,NULL
115,"binSize","15",32,NULL,NULL,NULL,NULL
116,"yAxisDefault","100",2,NULL,NULL,NULL,NULL
117,"yAxisDefault","150",6,NULL,NULL,NULL,NULL
118,"yAxisDefault","180",3,NULL,NULL,NULL,NULL
119,"yAxisDefault","20",11,NULL,NULL,NULL,NULL
120,"yAxisDefault","300",5,NULL,NULL,NULL,NULL
121,"combineThruRight","FALSE",5,NULL,NULL,NULL,NULL
122,"binSize","15",39,NULL,NULL,NULL,NULL
123,"binSize","15",40,NULL,NULL,NULL,NULL
